Canon EF 8-15 mm f/ 4 L USM Fisheye ,8, 15,4.0,4.0,22,22,0.15
Canon EF-S 55-250 mm f/ 4.0-5.6 IS ,55, 250,4.0, 5.6,22,22,1.1
Canon EF-S 18-135 mm f/ 3.5-5.6 IS ,18, 135,3.5, 5.6,22,22,0.45
Canon EF-S 17-85 mm f/ 4.0-5.6 IS USM ,17, 85,4.0, 5.6,22,22,0.35
Canon EF-S 15-85 mm f/ 3.5-5.6 IS USM ,15, 85,3.5, 5.6,22,22,0.35
Canon EF-S 18-200 mm f/ 3.5-5.6 IS ,18, 200,3.5, 5.6,22,22,0.45
Canon EF-S 17-55 mm f/ 2.8 IS USM ,17, 55,2.8,2.8,22,22,0.35
Canon EF-S 18-55 mm f/ 3.5-5.6 IS ,18, 55,3.5, 5.6,22,22,0.25
Canon EF-S 18-55 mm f/ 3.5-5.6 II ,18, 55,3.5, 5.6,22,22,0.28
Canon EF-S 60 mm f/ 2.8 Macro USM ,60,60,2.8,2.8,32,32,0.20
Canon EF 100 mm f/ 2.8 L Macro IS USM ,100,100,2.8,2.8,32,32,0.3
Canon EF 100 mm f/ 2.8 Macro USM ,100,100,2.8,2.8,32,32,0.31
Canon EF 180 mm f/ 3.5 L Macro USM ,180,180,3.5,3.5,32,32,0.48
Canon TS-E 17 mm f/ 4 L ,17,17,4.0,4.0,22,22,0.25
Canon TS-E 24 mm f/ 3.5 L ,24,24,3.5,3.5,22,22,0.30
Canon TS-E 24 mm f/ 3.5 L II ,24,24,3.5,3.5,22,22,0.21
Canon TS-E 45 mm f/ 2.8 ,45,45,2.8,2.8,22,22,0.4
Canon TS-E 90 mm f/ 2.8 ,90,90,2.8,2.8,32,32,0.5
Canon EF 28-200 mm f/ 3.5-5.6 USM ,28, 200,3.5, 5.6,22,22,0.45
Canon EF 28-300 mm f/ 3.5-5.6 L IS USM ,28, 300,3.5, 5.6,22,22,0.7
Canon EF 70-300 mm f/ 4.5-5.6 DO IS USM ,70, 300,4.5, 5.6,32,32,1.4
Canon EF 70-300 mm f/ 4.0-5.6 L IS USM ,70, 300,4.0, 5.6,32,32,1.2
Canon EF 70-300 mm f/ 4.0-5.6 IS USM ,70, 300,4.0, 5.6,32,32,1.5
Nikon Nikkor 28 mm f/ 2.8 Ai-S ,28,28,2.8,2.8,22,22,0.2
Jupiter-21M 200 mm f/ 4 ,200,200,4.0,4.0,22,22,1.8
Tokina AT-X 16-28 mm f/ 2.8 PRO FX ,16, 28,2.8,2.8,22,22,0.28
Tokina AT-X 116 PRO DX AF 11-16 mm f/ 2.8 ,11, 16,2.8,2.8,22,22,0.3
Tokina AT-X 124 PRO DX II 12-24 mm f/ 4 ,12, 24,4.0,4.0,22,22,0.3
Canon EF 200 mm f/ 1.8 L USM ,200,200,1.8,1.8,22,22,2.5
Canon EF 200 mm f/ 2 L IS USM ,200,200,2.0,2.0,32,32,1.9
Canon EF 200 mm f/ 2.8 L II USM ,200,200,2.8,2.8,32,32,1.5
Tamron AF 18-250 mm f/ 3.5-6.3 Di II LD Aspherical (IF) Macro ,18, 250,3.5, 6.3,22,22,0.45
SMC Pentax DA 21mm f/ 3.2 AL Limited ,21,21,3.2,3.2,22,22,0.2
Canon MP-E 65 mm f/ 2.8 1-5x Macro Photo ,65,65,2.8,2.8,16,16,0.24
Tamron AF 18-270 mm f/ 3.5-6.3 Di II VC LD Aspherical (IF) Macro ,18, 270,3.5, 6.3,22,22,0.49
Tokina AT-X 287 PRO SV AF 28-70 mm f/ 2.8 ,28, 70,2.8,2.8,22,22,0.7
Minolta AF 50 mm f/ 1.7 ,50,50,1.7,1.7,22,22,0.45
Sony AF DT 18-70 mm f/ 3.5-5.6 ,18, 70,3.5, 5.6,32,32,0.38
Sony AF 75-300 mm f/ 4.5-5.6 ,75, 300,4.5, 5.6,32,32,1.5
Tokina AT-X 165 PRO DX AF 16-50 mm f/ 2.8 ,16, 50,2.8,2.8,22,22,0.3
Carl Zeiss Planar T* 50 mm f/ 1.4 Z ,50,50,1.4,1.4,16,16,0.45
Carl Zeiss Distagon T* 35 mm f/ 1.4 Z ,35,35,1.4,1.4,16,16,0.3
Carl Zeiss Planar T* 85 mm f/ 1.4 Z ,85,85,1.4,1.4,16,16,1
Sony DT 18-55 mm f/ 3.5-5.6 SAM ,18, 55,3.5, 5.6,32,32,0.25
Sony AF DT 11-18 mm f/ 4.5-5.6 D ,11, 18,4.5, 5.6,22,22,0.25
Sony AF 16 mm f/ 2.8 Fisheye ,16,16,2.8,2.8,22,22,0.2
Sony AF DT 16-105 mm f/ 3.5-5.6 ,16, 105,3.5, 5.6,22,22,0.4
Sony AF DT 18-200 mm f/ 3.5-6.3 ,18, 200,3.5, 5.6,32,32,0.45
Sony AF DT 18-250 mm f/ 3.5-6.3 ,18, 250,3.5, 6.3,22,22,0.45
Sony AF 20 mm f/ 2.8 ,20,20,2.8,2.8,22,22,0.25
Sony AF 24-105 mm f/ 3.5-4.5 ,24, 105,3.5, 4.5,22,22,0.5
Sony AF 28 mm f/ 2.8 ,28,28,2.8,2.8,22,22,0.3
Sony AF 28-75 mm f/ 2.8 SAM ,28, 75,2.8,2.8,32,32,0.38
Sony AF DT 30 mm f/ 2.8 Macro SAM ,30,30,2.8,2.8,22,22,0.13
Sony DT 35 mm f/ 1.8 SAM ,35,35,1.8,1.8,22,22,0.23
Carl Zeiss Distagon T* 35 mm f/ 2 Z ,35,35,2.0,2.0,22,22,0.3
Carl Zeiss Distagon T* 28 mm f/ 2 Z ,28,28,2.0,2.0,22,22,0.24
Carl Zeiss Distagon T* 25 mm f/ 2.8 Z ,25,25,2.8,2.8,22,22,0.17
Carl Zeiss Distagon T* 21mm f/ 2.8 Z ,21,21,2.8,2.8,22,22,0.22
Carl Zeiss Distagon T* 18 mm f/ 3.5 Z ,18,18,3.5,3.5,22,22,0.3
Sigma AF 70-300 mm f/ 4-5.6 APO DG Macro ,70, 300,4.0, 5.6,22,22,0.95
Carl Zeiss Makro-Planar T* 50 mm f/ 2 Z ,50,50,2.0,2.0,22,22,0.24
Carl Zeiss Makro-Planar T* 100 mm f/ 2 Z ,100,100,2.0,2.0,22,22,0.44
Mir-20 20 mm f/ 3.5 ,20,20,3.5,3.5,16,16,0.18
Carl Zeiss Jena Sonnar 180 mm f/ 2.8 ,180,180,2.8,2.8,22,22,1.7
Carl Zeiss Planar T* 85 mm f/ 1.4 ZA ,85,85,1.4,1.4,22,22,0.85
Carl Zeiss Sonnar T* 135 mm f/ 1.8 ZA ,135,135,1.8,1.8,22,22,0.72
Carl Zeiss Distagon T* 24 mm f/ 2 ZA ,24,24,2.0,2.0,22,22,0.19
Carl Zeiss Vario-Sonnar T* 16-35 mm f/ 2.8 ZA ,16, 35,2.8,2.8,22,22,0.28
Carl Zeiss Vario-Sonnar T* DT 16-80 mm f/ 3.5-4.5 ZA ,16, 80,3.5, 4.5,22,22,0.35
Carl Zeiss Vario-Sonnar T* 24-70 mm f/ 2.8 ZA ,24, 70,2.8,2.8,22,22,0.34
Sony AF 35 mm f/ 1.4 G ,35,35,1.4,1.4,22,22,0.3
Sony AF 50 mm f/ 1.4 ,50,50,1.4,1.4,22,22,0.45
Sony AF DT 50 mm f/ 1.8 SAM ,50,50,1.8,1.8,22,22,0.34
Sony AF 50 mm f/ 2.8 Macro ,50,50,2.8,2.8,32,32,0.2
Sony AF DT 55-200 mm f/ 4-5.6 SAM ,55, 200,4.0, 5.6,45,45,0.95
Sony AF DT 55-200 mm f/ 4-5.6 ,55, 200,4.0, 5.6,32,32,0.95
