Canon EF 16-35 mm f/ 2.8 L II USM ,Canon EF-S
Jupiter-9 85 mm f/ 2.0 ,M39
Jupiter-9 85 mm f/ 2.0 ,M42
Jupiter-9 85 mm f/ 2.0 ,Pentax K
Canon EF-S 10-22 mm f/ 3.5-4.5 USM ,Canon EF (FF)
Canon EF-S 10-22 mm f/ 3.5-4.5 USM ,Canon EF (APS-H)
Canon EF-S 10-22 mm f/ 3.5-4.5 USM ,Canon EF-S
MC Zenitar 16 mm f/ 2.8 Fish-Eye ,Canon EF (FF)
MC Zenitar 16 mm f/ 2.8 Fish-Eye ,Canon EF (APS-H)
MC Zenitar 16 mm f/ 2.8 Fish-Eye ,Canon EF-S
MC Zenitar 16 mm f/ 2.8 Fish-Eye ,M42
MC Zenitar 16 mm f/ 2.8 Fish-Eye ,Nikon F (FX)
MC Zenitar 16 mm f/ 2.8 Fish-Eye ,Nikon F (DX)
MC Zenitar 16 mm f/ 2.8 Fish-Eye ,Pentax K
Canon EF 70-200 mm f/ 4 L USM ,Canon EF (FF)
Canon EF 70-200 mm f/ 4 L USM ,Canon EF (APS-H)
Canon EF 70-200 mm f/ 4 L USM ,Canon EF-S
Minolta MC Rokkor 58 mm f/ 1.2 ,Minolta SR
MC Volna-3 80 mm f/ 2.8 ,Pentacon Six
MC Volna-3 80 mm f/ 2.8 ,Kiev-88/Salut
Canon EF 70-200 mm f/ 4.0 L IS USM ,Canon EF (FF)
Canon EF 70-200 mm f/ 4.0 L IS USM ,Canon EF (APS-H)
Canon EF 70-200 mm f/ 4.0 L IS USM ,Canon EF-S
Carl Zeiss Planar T* 85 mm f/ 1.4 C/Y ,C/Y (contax/yashica)
Canon EF 35 mm f/ 1.4 L USM ,Canon EF (FF)
Canon EF 35 mm f/ 1.4 L USM ,Canon EF (APS-H)
Canon EF 35 mm f/ 1.4 L USM ,Canon EF-S
Canon EF 70-200 mm f/ 2.8 L USM ,Canon EF (FF)
Canon EF 70-200 mm f/ 2.8 L USM ,Canon EF (APS-H)
